% time spent exploring,episodes,head,steps,mean 100 episode reward,reward
9,535,3,31505,0.0,0.025000000000000015
9,536,7,31564,0.0,0.03900000000000003
9,537,7,31623,0.0,0.036000000000000025
9,538,6,31682,0.0,0.001
9,539,2,31741,0.0,0.03300000000000002
9,540,4,31800,0.0,0.059000000000000045
9,541,9,31859,0.0,0.05400000000000004
9,542,9,31918,0.0,0.05300000000000004
9,543,6,31977,0.0,0.04400000000000003
9,544,4,32036,0.0,0.035000000000000024
9,545,1,32095,0.0,0.014000000000000005
9,546,2,32154,0.0,0.026000000000000016
9,547,0,32213,0.0,0.007
9,548,1,32272,0.0,0.028000000000000018
9,549,9,32331,0.0,0.04000000000000003
9,550,4,32390,0.0,0.027000000000000017
9,551,3,32449,0.0,0.048000000000000036
9,552,0,32508,0.0,0.015000000000000006
9,553,6,32567,0.0,0.03900000000000003
9,554,4,32626,0.0,0.04400000000000003
9,555,7,32685,0.0,0.046000000000000034
9,556,1,32744,0.0,0.03200000000000002
9,557,0,32803,0.0,0.02000000000000001
9,558,7,32862,0.0,0.036000000000000025
9,559,7,32921,0.0,0.02900000000000002
9,560,8,32980,0.0,0.03800000000000003
9,561,6,33039,0.0,0.02900000000000002
9,562,5,33098,0.0,0.04500000000000003
9,563,6,33157,0.0,0.03900000000000003
9,564,4,33216,0.0,0.036000000000000025
9,565,0,33275,0.0,0.001
9,566,5,33334,0.0,0.05200000000000004
9,567,3,33393,0.0,0.026000000000000016
9,568,6,33452,0.0,0.024000000000000014
9,569,1,33511,0.0,0.01800000000000001
9,570,4,33570,0.0,0.024000000000000014
9,571,7,33629,0.0,0.022000000000000013
9,572,1,33688,0.0,0.03800000000000003
9,573,8,33747,0.0,0.047000000000000035
9,574,1,33806,0.0,0.026000000000000016
9,575,4,33865,0.0,0.02100000000000001
9,576,4,33924,0.0,0.027000000000000017
9,577,3,33983,0.0,0.048000000000000036
9,578,9,34042,0.0,0.036000000000000025
9,579,7,34101,0.0,0.024000000000000014
9,580,8,34160,0.0,0.024000000000000014
9,581,0,34219,0.0,0.048000000000000036
9,582,4,34278,0.0,0.028000000000000018
9,583,4,34337,0.0,0.013000000000000005
9,584,7,34396,0.0,0.027000000000000017
9,585,8,34455,0.0,0.025000000000000015
9,586,7,34514,0.0,0.05400000000000004
9,587,3,34573,0.0,0.04500000000000003
9,588,1,34632,0.0,0.03900000000000003
9,589,2,34691,0.0,0.046000000000000034
9,590,7,34750,0.0,0.02000000000000001
9,591,3,34809,0.0,0.048000000000000036
9,592,5,34868,0.0,0.05600000000000004
9,593,0,34927,0.0,0.05500000000000004
9,594,4,34986,0.0,0.036000000000000025
9,595,3,35045,0.0,0.04900000000000004
9,596,7,35104,0.0,0.011000000000000003
9,597,9,35163,0.0,0.001
9,598,4,35222,0.0,0.04300000000000003
