episodes,reward,mean 100 episode reward,% time spent exploring,steps
519,0.01900000000000001,0.1,9,56461
520,0.05400000000000004,0.1,9,56570
521,0.08300000000000006,0.1,9,56679
522,0.06700000000000005,0.1,9,56788
523,0.10500000000000008,0.1,9,56897
524,0.06200000000000005,0.1,9,57006
525,0.08100000000000006,0.1,9,57115
526,0.08800000000000006,0.1,9,57224
527,0.09500000000000007,0.1,9,57333
528,0.06200000000000005,0.1,9,57442
529,0.07100000000000005,0.1,9,57551
530,0.10300000000000008,0.1,9,57660
531,0.09100000000000007,0.1,9,57769
532,0.08800000000000006,0.1,9,57878
533,0.07900000000000006,0.1,9,57987
534,0.09000000000000007,0.1,9,58096
535,0.08300000000000006,0.1,9,58205
536,0.05100000000000004,0.1,9,58314
537,0.059000000000000045,0.1,9,58423
538,0.03100000000000002,0.1,9,58532
539,0.04200000000000003,0.1,9,58641
540,0.08900000000000007,0.1,9,58750
541,0.10600000000000008,0.1,9,58859
542,0.08000000000000006,0.1,9,58968
543,0.08200000000000006,0.1,9,59077
544,0.07400000000000005,0.1,9,59186
545,0.037000000000000026,0.1,9,59295
546,0.07800000000000006,0.1,9,59404
547,0.04400000000000003,0.1,9,59513
548,0.09100000000000007,0.1,9,59622
549,0.07900000000000006,0.1,9,59731
550,0.10400000000000008,0.1,9,59840
551,0.08500000000000006,0.1,9,59949
552,0.09000000000000007,0.1,9,60058
553,0.060000000000000046,0.1,9,60167
554,0.06400000000000004,0.1,9,60276
555,0.057000000000000044,0.1,9,60385
556,0.05200000000000004,0.1,9,60494
557,0.07300000000000005,0.1,9,60603
558,0.08000000000000006,0.1,9,60712
559,0.07500000000000005,0.1,9,60821
560,0.09000000000000007,0.1,9,60930
561,0.10200000000000008,0.1,9,61039
562,0.06800000000000005,0.1,9,61148
563,0.04400000000000003,0.1,9,61257
564,0.08900000000000007,0.1,9,61366
565,0.06300000000000004,0.1,9,61475
566,0.07700000000000005,0.1,9,61584
567,0.06400000000000004,0.1,9,61693
568,0.06600000000000004,0.1,9,61802
569,0.06900000000000005,0.1,9,61911
570,0.06200000000000005,0.1,9,62020
571,0.028000000000000018,0.1,9,62129
572,0.060000000000000046,0.1,9,62238
573,0.028000000000000018,0.1,9,62347
574,0.06400000000000004,0.1,9,62456
575,0.06400000000000004,0.1,9,62565
576,0.04500000000000003,0.1,9,62674
577,0.07400000000000005,0.1,9,62783
578,0.048000000000000036,0.1,9,62892
579,0.05000000000000004,0.1,9,63001
580,0.08500000000000006,0.1,9,63110
581,0.07600000000000005,0.1,9,63219
582,0.10000000000000007,0.1,9,63328
583,0.09700000000000007,0.1,9,63437
584,0.08400000000000006,0.1,9,63546
585,0.07500000000000005,0.1,9,63655
586,0.09400000000000007,0.1,9,63764
587,0.08600000000000006,0.1,9,63873
588,0.09000000000000007,0.1,9,63982
589,0.07700000000000005,0.1,9,64091
590,0.04900000000000004,0.1,9,64200
591,0.057000000000000044,0.1,9,64309
592,0.05200000000000004,0.1,9,64418
593,0.047000000000000035,0.1,9,64527
594,0.07000000000000005,0.1,9,64636
595,0.08500000000000006,0.1,9,64745
596,0.07100000000000005,0.1,9,64854
597,0.07800000000000006,0.1,9,64963
598,0.058000000000000045,0.1,9,65072
599,0.07500000000000005,0.1,9,65181
600,0.05300000000000004,0.1,9,65290
601,0.07700000000000005,0.1,9,65399
602,0.02900000000000002,0.1,9,65508
603,0.048000000000000036,0.1,9,65617
604,0.03100000000000002,0.1,9,65726
605,0.04100000000000003,0.1,9,65835
606,0.03800000000000003,0.1,9,65944
607,0.05200000000000004,0.1,9,66053
608,0.057000000000000044,0.1,9,66162
609,0.047000000000000035,0.1,9,66271
610,0.059000000000000045,0.1,9,66380
611,0.02900000000000002,0.1,9,66489
612,0.08100000000000006,0.1,9,66598
613,0.04100000000000003,0.1,9,66707
614,0.04200000000000003,0.1,9,66816
615,0.04500000000000003,0.1,9,66925
616,0.05000000000000004,0.1,9,67034
617,0.07200000000000005,0.1,9,67143
618,0.059000000000000045,0.1,9,67252
619,0.046000000000000034,0.1,9,67361
620,0.04000000000000003,0.1,9,67470
621,0.04400000000000003,0.1,9,67579
622,0.06300000000000004,0.1,9,67688
623,0.06700000000000005,0.1,9,67797
624,0.05400000000000004,0.1,9,67906
625,0.04500000000000003,0.1,9,68015
626,0.07600000000000005,0.1,9,68124
627,0.06300000000000004,0.1,9,68233
628,0.06800000000000005,0.1,9,68342
629,0.05400000000000004,0.1,9,68451
630,0.06700000000000005,0.1,9,68560
631,0.04400000000000003,0.1,9,68669
632,0.036000000000000025,0.1,9,68778
633,0.03000000000000002,0.1,9,68887
634,0.03800000000000003,0.1,9,68996
635,0.059000000000000045,0.1,9,69105
636,0.037000000000000026,0.1,9,69214
637,0.06900000000000005,0.1,9,69323
638,0.07500000000000005,0.1,9,69432
639,0.08300000000000006,0.1,9,69541
640,0.026000000000000016,0.1,9,69650
641,0.05200000000000004,0.1,9,69759
642,0.058000000000000045,0.1,9,69868
643,0.04000000000000003,0.1,9,69977
644,0.046000000000000034,0.1,9,70086
645,0.08900000000000007,0.1,9,70195
646,0.05500000000000004,0.1,9,70304
647,0.09900000000000007,0.1,9,70413
648,0.04200000000000003,0.1,9,70522
649,0.06100000000000005,0.1,9,70631
650,0.05600000000000004,0.1,9,70740
651,0.05500000000000004,0.1,9,70849
652,0.04400000000000003,0.1,9,70958
653,0.046000000000000034,0.1,9,71067
654,0.05200000000000004,0.1,9,71176
655,0.08200000000000006,0.1,9,71285
656,0.03800000000000003,0.1,9,71394
657,0.04200000000000003,0.1,9,71503
658,0.026000000000000016,0.1,9,71612
659,0.03300000000000002,0.1,9,71721
660,0.04500000000000003,0.1,9,71830
661,0.03300000000000002,0.1,9,71939
662,0.05200000000000004,0.1,9,72048
663,0.057000000000000044,0.1,9,72157
664,0.04300000000000003,0.1,9,72266
665,0.06200000000000005,0.1,9,72375
666,0.06400000000000004,0.1,9,72484
667,0.05200000000000004,0.1,9,72593
668,0.08100000000000006,0.1,9,72702
669,0.05200000000000004,0.1,9,72811
670,0.06800000000000005,0.1,9,72920
671,0.09600000000000007,0.1,9,73029
672,0.07500000000000005,0.1,9,73138
673,0.07200000000000005,0.1,9,73247
674,0.04400000000000003,0.1,9,73356
675,0.08300000000000006,0.1,9,73465
676,0.046000000000000034,0.1,9,73574
677,0.05500000000000004,0.1,9,73683
678,0.046000000000000034,0.1,9,73792
679,0.09600000000000007,0.1,9,73901
680,0.06500000000000004,0.1,9,74010
681,0.06900000000000005,0.1,9,74119
682,0.06200000000000005,0.1,9,74228
683,0.03800000000000003,0.1,9,74337
684,0.028000000000000018,0.1,9,74446
685,0.03000000000000002,0.1,9,74555
686,0.06600000000000004,0.1,9,74664
687,0.09600000000000007,0.1,9,74773
688,0.06900000000000005,0.1,9,74882
689,0.09200000000000007,0.1,9,74991
690,0.06800000000000005,0.1,9,75100
691,0.06200000000000005,0.1,9,75209
692,0.04100000000000003,0.1,9,75318
693,0.03400000000000002,0.1,9,75427
694,0.04500000000000003,0.1,9,75536
695,0.037000000000000026,0.1,9,75645
696,0.03000000000000002,0.1,9,75754
697,0.03100000000000002,0.1,9,75863
698,0.060000000000000046,0.1,9,75972
699,0.04900000000000004,0.1,9,76081
700,0.07200000000000005,0.1,9,76190
701,0.060000000000000046,0.1,9,76299
702,0.047000000000000035,0.1,9,76408
703,0.03000000000000002,0.1,9,76517
704,0.05000000000000004,0.1,9,76626
705,0.10200000000000008,0.1,9,76735
706,0.08900000000000007,0.1,9,76844
707,0.08700000000000006,0.1,9,76953
708,0.08400000000000006,0.1,9,77062
709,0.08900000000000007,0.1,9,77171
710,0.08900000000000007,0.1,9,77280
711,0.09100000000000007,0.1,9,77389
712,0.022000000000000013,0.1,9,77498
713,0.05500000000000004,0.1,9,77607
714,0.05000000000000004,0.1,9,77716
715,0.014000000000000005,0.1,9,77825
